k,mean_dist
5,0.017474128799912187
5,0.0328239808875513
5,0.020473645677099184
5,0.041485330203838294
5,0.04433114631006938
5,0.021585594935268217
5,0.030983848090966336
5,0.0346913502683938
5,0.044359666099821046
5,0.020813752314371905
5,0.023445146218367758
5,0.024113230348476438
5,0.04644360609060804
5,0.024444129350221118
5,0.016451109915540912
5,0.02844987745382972
5,0.014775326653902077
5,0.01996229882624363
5,0.024949606810665916
5,0.03413946845585507
5,0.024931039783836078
5,0.03366164056256918
5,0.0403776946486462
5,0.03824163062113176
5,0.03025175484098902
5,0.03326646019343457
5,0.02698855789314607
5,0.04306893770189245
5,0.02844032487224609
5,0.012723647523897902
5,0.028483901429450675
5,0.031364052844609705
5,0.025073619794006418
5,0.03530692764949457
5,0.02942785883167756
5,0.038972386186544784
5,0.031943355269390926
5,0.028849898543394897
5,0.037995086715897505
5,0.03508101617789964
5,0.03877661928548733
5,0.035145121102666155
5,0.04204482838459991
5,0.040966245641487764
5,0.036479277098674934
5,0.035654149094586536
5,0.019772307400704868
5,0.023446154344793912
5,0.015311221542717445
5,0.03496405947954971
5,0.030339989244191727
5,0.020869466262912518
5,0.03295701826828568
5,0.023245556517907433
5,0.041960744634109995
5,0.024538571496277688
5,0.043558594429304584
5,0.02576915078048969
5,0.045290222675621924
5,0.03242165773780564
5,0.019631496231609293
5,0.0364979370034878
5,0.032770816367095626
5,0.0360277412564529
5,0.03213818117285148
5,0.02975429952233103
5,0.038065569938742896
5,0.03265550763497827
5,0.019910886906710907
5,0.042851361273753844
5,0.04124656336661946
5,0.023417235958927703
5,0.01603481489461754
5,0.015090569455387648
5,0.03797340656122965
5,0.03557144245516338
5,0.04021119192386832
5,0.0249520039256285
5,0.048519723307318255
5,0.040513439312895125
5,0.03766875386599074
5,0.020170814104913854
5,0.03465848084380453
5,0.040390143396965304
5,0.028247137769416987
5,0.03045475466168245
5,0.028072361875624997
5,0.04353521042726738
5,0.03829199645658339
5,0.019017972648377464
5,0.028603923094916585
5,0.034040927300959145
5,0.03408603007114915
5,0.042208258747554586
5,0.026571663494433906
5,0.04190612625291602
5,0.023298285668832814
5,0.034687087816077114
5,0.034846042351910356
5,0.026292427115023463
5,0.0339178919802154
5,0.03986993240150665
5,0.04404718418933838
5,0.02324575572755417
5,0.030263084938360857
5,0.03117373796252231
5,0.029208052345454205
5,0.02239542295041313
5,0.03139878112966212
5,0.029440939168638942
5,0.024210419924762187
5,0.01895263742241218
5,0.027665366541331393
5,0.020035777527691045
5,0.027097327383340704
5,0.03088408028086765
5,0.02416369802803729
5,0.02888793465658913
5,0.0328331173273134
5,0.033365712236711156
5,0.014740818120111493
5,0.037307933884302626
5,0.04251461823843914
5,0.03342383260814065
5,0.0472501563369679
5,0.0315704679781413
5,0.005459107120715583
5,0.031727437331799176
5,0.02797325496532428
5,0.036721646998057876
5,0.034691523455882715
5,0.03133560747859833
5,0.0347989424182501
5,0.02832869212507551
5,0.03866877230128287
5,0.026502298513572976
5,0.04541408943790275
5,0.029514176236680168
5,0.021552189440130813
5,0.03488433371497276
5,0.03565053608006251
5,0.03441495643944851
5,0.025328246502591432
5,0.022014997044582763
5,0.03392452412695447
5,0.03818977815591612
5,0.04133058968496668
5,0.0397421922893048
5,0.017931080659987993
5,0.024874945253844694
5,0.022548353811990645
5,0.023105494960696287
5,0.027706051684972578
5,0.034238159080247
5,0.036736355846549926
5,0.01666445189781459
5,0.027835055359941723
5,0.03534335716349984
5,0.031850839335177475
5,0.02426855308832529
5,0.04553942992904062
5,0.03504182402533912
5,0.048397896842956235
5,0.03999143211011299
5,0.02212121200478302
5,0.028622270926129643
5,0.02724611344520912
5,0.03066339408345256
5,0.039834125093330376
5,0.018548276448388086
5,0.03322898880512557
5,0.04187022174639353
5,0.03307914602809252
5,0.02390587141106036
5,0.022880887187495858
5,0.02432855380501334
5,0.038614049363811576
5,0.03008729899323037
5,0.02211277650870485
5,0.027830159022613803
5,0.039415170513356815
5,0.041650606946952974
5,0.039067842802255615
5,0.04448047430388554
5,0.015480712256563656
5,0.04329527445780975
5,0.014293912661318839
5,0.03985982879346313
5,0.04523486656516107
5,0.027639389967114996
5,0.03626549009724502
5,0.028084178659413615
5,0.02058391040826709
5,0.02583617986409077
5,0.02897266006665772
5,0.03197717057617516
5,0.03622763444573518
5,0.023715669684191174
5,0.022771437490363963
5,0.03643061932253204
5,0.03231308599840322
5,0.0357116056630329
5,0.03316277137663669
5,0.020919787930146046
5,0.03442490438131799
5,0.022374750397319683
5,0.03696168036687157
5,0.017980074023805234
5,0.03204962243797067
5,0.01130019316609739
5,0.02350684092946028
5,0.021519471197324537
5,0.02983462651799971
5,0.04200600219110822
5,0.02417514648978102
5,0.031041632818090182
5,0.044725497401620136
5,0.035900662337582455
5,0.02465566166135847
5,0.02468239275116386
5,0.030157240949223597
5,0.025878864730481576
5,0.0098348220683974
5,0.04326453096635116
5,0.030262146307331754
5,0.01964059513452313
5,0.025398522216302725
5,0.020625858685356196
5,0.03492006221959198
5,0.02401204693150093
5,0.030372254313385177
5,0.03583048704122637
5,0.026042909715293838
5,0.03634994761626667
5,0.01677203018584799
5,0.02377343278596742
5,0.03607306512750166
5,0.0199422802767712
5,0.04340042444830762
5,0.02107765526347373
5,0.02628773571562275
5,0.03757215995046208
5,0.035482335281216304
5,0.037789409537626925
5,0.03752759353472966
5,0.04476757501960381
5,0.027896862739989047
5,0.027013843914401058
5,0.028058654040822965
5,0.0433143617792797
5,0.03042739225718487
5,0.030402164250456287
5,0.03048421133909817
5,0.0329862078155206
5,0.0304166945783925
5,0.024988928309319987
5,0.014817254572046468
5,0.01744294673228724
5,0.02927533211302332
5,0.010235138041949749
5,0.030873209516650135
5,0.03695197172645667
5,0.049481493211653016
5,0.030731368611659822
5,0.03169486915606014
5,0.03746359138266059
5,0.026901031370698585
5,0.05400792686203648
5,0.029852635091777307
5,0.03064900200732082
5,0.025417237517144274
5,0.026645346319137186
5,0.01901615805028455
5,0.030177113809978662
5,0.02960034884613849
5,0.01620927417822134
5,0.025465524723560375
5,0.03030129968647618
5,0.02906173528293504
5,0.0348397766943803
5,0.04928997501038661
5,0.03133271655799967
5,0.01713551457356192
5,0.035274166145549825
5,0.010807791427394877
5,0.049137540419553274
5,0.02694916233206221
5,0.041522802118276234
5,0.036014889777381966
5,0.017930547591355796
5,0.02549149344081486
5,0.032422294487430614
5,0.04359846770142066
